,,,"Burnaby, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","              Kaska (Nahani)",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","              Tahltan",,       0,,       0,,       0,,      90,,      40,,      50,
"Mother tongue","            Tutchone languages",,       0,,       0,,       0,,       5,,       0,,       5,
"Mother tongue","              Northern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","              Southern Tutchone",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","          Athabaskan languages; n.i.e.",,       0,,       0,,       0,,      15,,       5,,      10,
"Mother tongue","        Haida",,       0,,       0,,       0,,      70,,      30,,      40,
"Mother tongue","        Inuit languages",,       0,,       0,,       0,,      80,,      30,,      55,
"Mother tongue","          Inuinnaqtun (Inuvialuktun)",,       0,,       0,,       0,,      10,,       0,,      10,
"Mother tongue","          Inuktitut",,       5,,       0,,       0,,      50,,      20,,      30,
"Mother tongue","          Inuit languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      10,
"Mother tongue","        Iroquoian languages",,       0,,       0,,       0,,      15,,      10,,       5,
"Mother tongue","          Cayuga",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Mohawk",,       0,,       0,,       0,,      10,,       5,,       5,
"Mother tongue","          Oneida",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","          Iroquoian languages; n.i.e.",,       0,,       0,,       0,,       0,,       0,,       0,
"Mother tongue","        Kutenai",,       0,,       0,,       0,,     100,,      55,,      50,
"Mother tongue","        Michif",,       0,,       0,,       0,,      35,,      20,,      10,
"Mother tongue","        Salish languages",,      10,,       5,,       5,,    2270,,    1115,,    1155,
"Mother tongue","          Comox",,       0,,       0,,       0,,      80,,      45,,      40,
"Mother tongue","          Halkomelem",,       0,,       0,,       0,,     475,,     230,,     245,
"Mother tongue","          Lillooet",,       5,,       0,,       0,,     315,,     155,,     160,
"Mother tongue","          Okanagan",,       0,,       0,,       0,,     270,,     135,,     135,
"Mother tongue","          Shuswap (Secwepemctsin)",,       0,,       0,,       0,,     435,,     220,,     215,
"Mother tongue","          Squamish",,       0,,       0,,       0,,      35,,      20,,      20,
"Mother tongue","          Straits",,       0,,       0,,       0,,      80,,      40,,      40,
"Mother tongue","          Thompson (Ntlakapamux)",,       0,,       0,,       0,,     330,,     150,,     185,
"Mother tongue","          Salish languages; n.i.e.",,       0,,       0,,       0,,     250,,     130,,     120,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      45,,      25,,      20,
"Mother tongue","          Dakota",,       0,,       0,,       0,,      30,,      15,,      20,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Tsimshian languages",,       5,,       5,,       0,,    1460,,     715,,     740,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,     875,,     435,,     445,
"Mother tongue","          Nisga'a",,       5,,       5,,       0,,     385,,     195,,     190,
"Mother tongue","          Tsimshian",,       5,,       0,,       0,,     195,,      90,,     110,
"Mother tongue","        Wakashan languages",,       5,,       5,,       0,,     795,,     365,,     435,
"Mother tongue","          Haisla",,       0,,       0,,       0,,      90,,      40,,      55,
"Mother tongue","          Heiltsuk",,       5,,       5,,       0,,     100,,      45,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,     320,,     140,,     180,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,     275,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       5,,      10,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,      10,,       5,,       0,,     190,,      80,,     110,
"Mother tongue","      Non-Aboriginal languages",,  128675,,   59785,,   68885,, 1259025,,  587455,,  671570,
"Mother tongue","        Afro-Asiatic languages",,    2575,,    1345,,    1230,,   24870,,   13405,,   11465,
"Mother tongue","          Berber languages",,      25,,      15,,      10,,     115,,      75,,      45,
"Mother tongue","            Kabyle",,      10,,       5,,       5,,      40,,      30,,      15,
"Mother tongue","            Berber languages; n.i.e.",,      10,,      10,,       5,,      80,,      45,,      30,
"Mother tongue","          Cushitic languages",,     170,,      85,,      85,,    1505,,     765,,     740,
"Mother tongue","            Bilen",,       5,,       5,,       0,,       5,,       0,,       0,
"Mother tongue","            Oromo",,      25,,      20,,       5,,     205,,     115,,      95,
"Mother tongue","            Somali",,     140,,      65,,      70,,    1270,,     640,,     640,
"Mother tongue","            Cushitic languages; n.i.e.",,       5,,       5,,       5,,      20,,      10,,      15,
"Mother tongue","          Semitic languages",,    2370,,    1240,,    1130,,   23195,,   12540,,   10655,
"Mother tongue","            Amharic",,     265,,     130,,     135,,    1370,,     670,,     700,
"Mother tongue","            Arabic",,    1770,,     940,,     835,,   17480,,    9595,,    7890,
"Mother tongue","            Assyrian Neo-Aramaic",,      30,,      20,,      10,,     650,,     315,,     330,
"Mother tongue","            Chaldean Neo-Aramaic",,       5,,       0,,       0,,     440,,     245,,     200,
"Mother tongue","            Harari",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","            Hebrew",,      90,,      50,,      40,,    2065,,    1125,,     940,
"Mother tongue","            Maltese",,       5,,       5,,       5,,     215,,     100,,     115,
"Mother tongue","            Tigrigna",,     195,,      95,,     100,,     805,,     395,,     405,
"Mother tongue","            Semitic languages; n.i.e.",,      15,,       5,,       5,,     150,,      80,,      65,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       5,,       5,,       5,,      55,,      30,,      25,
"Mother tongue","        Austro-Asiatic languages",,    2440,,    1100,,    1340,,   28740,,   13170,,   15575,
"Mother tongue","          Khmer (Cambodian)",,      70,,      40,,      30,,    1560,,     710,,     850,
"Mother tongue","          Vietnamese",,    2375,,    1065,,    1310,,   27150,,   12440,,   14710,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Austronesian languages",,    9335,,    3810,,    5525,,   96535,,   38765,,   57770,
"Mother tongue","          Bikol",,      30,,      20,,      15,,     375,,     165,,     215,
"Mother tongue","          Cebuano",,     355,,     150,,     210,,    4065,,    1565,,    2505,
"Mother tongue","          Fijian",,      35,,      15,,      15,,     470,,     240,,     230,
"Mother tongue","          Hiligaynon",,     170,,      50,,     120,,    1470,,     550,,     920,
"Mother tongue","          Ilocano",,     420,,     170,,     255,,    5240,,    2055,,    3190,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Malay",,     660,,     280,,     375,,    3895,,    1675,,    2220,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      85,,      35,,      50,,     700,,     320,,     380,
"Mother tongue","          Pangasinan",,      10,,       5,,      10,,     295,,     130,,     170,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    7435,,    3030,,    4405,,   78770,,   31550,,   47220,
"Mother tongue","          Waray-Waray",,      40,,      15,,      25,,     215,,      85,,     135,
"Mother tongue","          Austronesian languages; n.i.e.",,      90,,      35,,      50,,    1015,,     435,,     580,
"Mother tongue","        Creole languages",,      55,,      30,,      20,,     840,,     440,,     400,
"Mother tongue","          Haitian Creole",,       0,,       5,,       5,,      35,,      20,,      15,
"Mother tongue","          Creole; n.o.s.",,      30,,      20,,      10,,     500,,     255,,     245,
"Mother tongue","          Creole languages; n.i.e.",,      25,,      10,,      10,,     305,,     155,,     145,
"Mother tongue","        Dravidian languages",,     845,,     440,,     400,,    7500,,    3995,,    3510,
"Mother tongue","          Kannada",,      60,,      30,,      30,,     280,,     150,,     135,
"Mother tongue","          Malayalam",,     165,,      90,,      70,,    2385,,    1260,,    1130,
"Mother tongue","          Tamil",,     430,,     215,,     215,,    3615,,    1875,,    1740,
"Mother tongue","          Telugu",,     190,,     105,,      85,,    1175,,     695,,     480,
"Mother tongue","          Dravidian languages; n.i.e.",,       5,,       0,,       5,,      45,,      20,,      25,
"Mother tongue","        Hmong-Mien languages",,       5,,       5,,       5,,     140,,      75,,      70,
"Mother tongue","        Indo-European languages",,   37805,,   18525,,   19280,,  588175,,  286135,,  302035,
"Mother tongue","          Albanian",,     230,,     110,,     120,,    1465,,     765,,     705,
"Mother tongue","          Armenian",,     145,,      70,,      70,,    1195,,     600,,     600,
"Mother tongue","          Balto-Slavic languages",,    8895,,    4315,,    4580,,   83110,,   38595,,   44515,
"Mother tongue","            Baltic languages",,      30,,      15,,      15,,    1070,,     485,,     585,
"Mother tongue","              Latvian",,      15,,      10,,      10,,     565,,     255,,     300,
"Mother tongue","              Lithuanian",,      15,,       5,,       5,,     505,,     225,,     280,
"Mother tongue","            Slavic languages",,    8870,,    4300,,    4565,,   82040,,   38110,,   43930,
"Mother tongue","              Belarusan",,       0,,       0,,       0,,      95,,      45,,      50,
"Mother tongue","              Bosnian",,     330,,     165,,     170,,    1360,,     675,,     685,
"Mother tongue","              Bulgarian",,     195,,      95,,     100,,    2025,,     955,,    1070,
"Mother tongue","              Croatian",,    1535,,     735,,     800,,    7475,,    3655,,    3820,
"Mother tongue","              Czech",,     275,,     150,,     125,,    5920,,    2850,,    3070,
"Mother tongue","              Macedonian",,      45,,      25,,      20,,     325,,     160,,     165,
"Mother tongue","              Polish",,    1010,,     500,,     515,,   16910,,    7875,,    9035,
"Mother tongue","              Russian",,    2650,,    1230,,    1420,,   25955,,   11640,,   14310,
"Mother tongue","              Serbian",,    1855,,     970,,     890,,    7045,,    3600,,    3450,
"Mother tongue","              Serbo-Croatian",,     235,,     115,,     120,,    1395,,     670,,     725,
"Mother tongue","              Slovak",,     195,,      80,,     115,,    3400,,    1525,,    1870,
"Mother tongue","              Slovene (Slovenian)",,      60,,      25,,      35,,    1160,,     545,,     615,
"Mother tongue","              Ukrainian",,     440,,     195,,     245,,    8630,,    3730,,    4900,
"Mother tongue","              Slavic languages; n.i.e.",,      30,,      15,,      15,,     345,,     175,,     170,
"Mother tongue","          Celtic languages",,      15,,       5,,      10,,     615,,     325,,     290,
"Mother tongue","            Scottish Gaelic",,      10,,       5,,      10,,     240,,     130,,     110,
"Mother tongue","            Welsh",,       5,,       0,,       5,,     280,,     145,,     135,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      95,,      50,,      45,
"Mother tongue","          Germanic languages",,    2155,,    1070,,    1085,,  101725,,   48350,,   53380,
"Mother tongue","            Afrikaans",,      55,,      30,,      25,,    3260,,    1655,,    1610,
"Mother tongue","            Danish",,     125,,      60,,      65,,    4665,,    2280,,    2385,
"Mother tongue","            Dutch",,     330,,     160,,     170,,   21020,,   10130,,   10895,
"Mother tongue","            Frisian",,       0,,       0,,       0,,     295,,     145,,     145,
"Mother tongue","            German",,    1505,,     745,,     770,,   66885,,   31525,,   35360,
"Mother tongue","            Icelandic",,       0,,       5,,       0,,     275,,     135,,     145,
"Mother tongue","            Norwegian",,      45,,      30,,      20,,    2005,,     970,,    1035,
"Mother tongue","            Swedish",,      75,,      40,,      35,,    2520,,    1100,,    1420,
"Mother tongue","            Vlaams (Flemish)",,      10,,       5,,       0,,     445,,     220,,     225,
"Mother tongue","            Yiddish",,       5,,       0,,       0,,     290,,     150,,     140,
"Mother tongue","            Germanic languages; n.i.e.",,       0,,       5,,       0,,      65,,      45,,      25,
"Mother tongue","          Greek",,     475,,     235,,     245,,    6115,,    3245,,    2870,
"Mother tongue","          Indo-Iranian languages",,   15075,,    7525,,    7550,,  297800,,  147830,,  149970,
"Mother tongue","            Indo-Aryan languages",,   10405,,    5060,,    5340,,  251000,,  124260,,  126740,
"Mother tongue","              Bengali",,     480,,     255,,     230,,    3180,,    1665,,    1510,
"Mother tongue","              Gujarati",,    1515,,     705,,     810,,    6895,,    3290,,    3605,
"Mother tongue","              Hindi",,    2040,,     960,,    1085,,   26720,,   12910,,   13810,
"Mother tongue","              Kashmiri",,       5,,       5,,       0,,      65,,      35,,      25,
