"Census Profile, 2021 Census of Population"
,,,"Maple Ridge, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Income of individuals in 2020","    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 30560,"", 37200,"", 25480,"", 30560,"", 37200,"", 25480,"",
"Income of individuals in 2020","Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data",17,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Market income (%)",18,   84.4,"",   89.0,"",   77.8,"",   84.4,"",   89.0,"",   77.8,"",
"Income of individuals in 2020","    Employment income (%)",19,   72.4,"",   77.8,"",   65.0,"",   72.4,"",   77.8,"",   65.0,"",
"Income of individuals in 2020","  Government transfers (%)",20,   15.6,"",   11.0,"",   22.2,"",   15.6,"",   11.0,"",   22.2,"",
"Income of individuals in 2020","    Employment insurance benefits (%)",,    1.1,"",    0.6,"",    1.7,"",    1.1,"",    0.6,"",    1.7,"",
"Income of individuals in 2020","    COVID-19 - Government income support and benefits (%)",,    5.0,"",    3.7,"",    6.9,"",    5.0,"",    3.7,"",    6.9,"",
"Income of individuals in 2020","      COVID-19 - Emergency and recovery benefits (%)",,    4.0,"",    3.0,"",    5.4,"",    4.0,"",    3.0,"",    5.4,"",
"Income of individuals in 2020","Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data",21, 73780,"", 36135,"", 37640,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without total income",,  2535,"",  1240,"",  1290,"",    3.4,"",    3.4,"",    3.4,"",
"Income of individuals in 2020","  With total income",, 71245,"", 34890,"", 36350,"",   96.6,"",   96.6,"",   96.6,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",,  6085,"",  2430,"",  3660,"",    8.5,"",    7.0,"",   10.1,"",
"Income of individuals in 2020","    $10,000 to $19,999",,  7585,"",  3020,"",  4570,"",   10.6,"",    8.7,"",   12.6,"",
"Income of individuals in 2020","    $20,000 to $29,999",,  9820,"",  3830,"",  5995,"",   13.8,"",   11.0,"",   16.5,"",
"Income of individuals in 2020","    $30,000 to $39,999",,  8315,"",  3325,"",  4990,"",   11.7,"",    9.5,"",   13.7,"",
"Income of individuals in 2020","    $40,000 to $49,999",,  7550,"",  3130,"",  4420,"",   10.6,"",    9.0,"",   12.2,"",
"Income of individuals in 2020","    $50,000 to $59,999",,  6425,"",  2890,"",  3540,"",    9.0,"",    8.3,"",    9.7,"",
"Income of individuals in 2020","    $60,000 to $69,999",,  5555,"",  2925,"",  2625,"",    7.8,"",    8.4,"",    7.2,"",
"Income of individuals in 2020","    $70,000 to $79,999",,  4480,"",  2605,"",  1880,"",    6.3,"",    7.5,"",    5.2,"",
