"Census Profile, 2021 Census of Population"
,,,"Coquitlam, City (CY) [Census subdivision], British Columbia",,,,,,,,,,,,
,,,"Counts",,,,,,"Rates",,,,,,
"Topic","Characteristic","Note","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag","Total","Total_Flag","Men+","Men+_Flag","Women+","Women+_Flag",
"Income of individuals in 2020","    Median COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9000,"",  8500,"",  9500,"",  9000,"",  8500,"",  9500,"",
"Income of individuals in 2020","Total - Income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",11,125070,"", 61145,"", 63925,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of total income recipients aged 15 years and over in private households in 2020 - 25% sample data",,120490,"", 58940,"", 61545,"",   96.3,"",   96.4,"",   96.3,"",
"Income of individuals in 2020","    Average total income in 2020 among recipients ($)",, 52850,"", 62100,"", 43960,"", 52850,"", 62100,"", 43960,"",
"Income of individuals in 2020","  Number of after-tax income recipients aged 15 years and over in private households in 2020 - 25% sample data",,120560,"", 58975,"", 61585,"",   96.4,"",   96.5,"",   96.3,"",
"Income of individuals in 2020","    Average after-tax income in 2020 among recipients ($)",, 44640,"", 51250,"", 38320,"", 44640,"", 51250,"", 38320,"",
"Income of individuals in 2020","  Number of market income recipients aged 15 years and over in private households in 2020 - 25% sample data",,108170,"", 53950,"", 54220,"",   86.5,"",   88.2,"",   84.8,"",
"Income of individuals in 2020","    Average market income in 2020 among recipients ($)",, 49640,"", 60000,"", 39360,"", 49640,"", 60000,"", 39360,"",
"Income of individuals in 2020","  Number of employment income recipients aged 15 years and over in private households in 2020 - 25% sample data",, 86760,"", 44475,"", 42280,"",   69.4,"",   72.7,"",   66.1,"",
"Income of individuals in 2020","    Average employment income in 2020 among recipients ($)",, 51800,"", 62000,"", 41080,"", 51800,"", 62000,"", 41080,"",
"Income of individuals in 2020","  Number of government transfers recipients aged 15 years and over in private households in 2020 - 25% sample data",, 98430,"", 44780,"", 53645,"",   78.7,"",   73.2,"",   83.9,"",
"Income of individuals in 2020","    Average government transfers in 2020 among recipients ($)",, 10110,"",  9480,"", 10640,"", 10110,"",  9480,"", 10640,"",
"Income of individuals in 2020","  Number of employment insurance benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",,  9825,"",  4340,"",  5485,"",    7.9,"",    7.1,"",    8.6,"",
"Income of individuals in 2020","    Average employment insurance benefits in 2020 among recipients ($)",,  6480,"",  5630,"",  7160,"",  6480,"",  5630,"",  7160,"",
"Income of individuals in 2020","  Number of COVID-19 emergency and recovery benefits recipients aged 15 years and over in private households in 2020 - 25% sample data",, 35040,"", 16450,"", 18595,"",   28.0,"",   26.9,"",   29.1,"",
"Income of individuals in 2020","    Average COVID-19 emergency and recovery benefits in 2020 among recipients ($)",,  9670,"",  9470,"",  9850,"",  9670,"",  9470,"",  9850,"",
"Income of individuals in 2020","Total - Employment income statistics in 2020 for the population aged 15 years and over in private households - 25% sample data",12,125070,"", 61150,"", 63925,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked full-year full-time in 2020 - 25% sample data",13, 41035,"", 23725,"", 17320,"",   32.8,"",   38.8,"",   27.1,"",
"Income of individuals in 2020","    Median employment income in 2020 for full-year full-time workers in 2020 ($)",14, 68000,"", 75000,"", 60000,"", 68000,"", 75000,"", 60000,"",
"Income of individuals in 2020","    Average employment income in 2020 for full-year full-time workers in 2020 ($)",15, 79900,"", 88900,"", 67600,"", 79900,"", 88900,"", 67600,"",
"Income of individuals in 2020","  Number of employment income recipients in 2020 who worked part-year or part-time in 2020 - 25% sample data",16, 34575,"", 15675,"", 18905,"",   27.6,"",   25.6,"",   29.6,"",
"Income of individuals in 2020","    Median employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 17600,"", 20600,"", 15500,"", 17600,"", 20600,"", 15500,"",
"Income of individuals in 2020","    Average employment income in 2020 of those who worked part-year or part-time in 2020 ($)",, 28560,"", 33760,"", 24240,"", 28560,"", 33760,"", 24240,"",
"Income of individuals in 2020","Composition of total income in 2020 of the population aged 15 years and over in private households (%) - 25% sample data",17,  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Market income (%)",18,   84.4,"",   88.4,"",   78.8,"",   84.4,"",   88.4,"",   78.8,"",
"Income of individuals in 2020","    Employment income (%)",19,   70.6,"",   75.4,"",   64.2,"",   70.6,"",   75.4,"",   64.2,"",
"Income of individuals in 2020","  Government transfers (%)",20,   15.6,"",   11.6,"",   21.1,"",   15.6,"",   11.6,"",   21.1,"",
"Income of individuals in 2020","    Employment insurance benefits (%)",,    1.0,"",    0.7,"",    1.5,"",    1.0,"",    0.7,"",    1.5,"",
"Income of individuals in 2020","    COVID-19 - Government income support and benefits (%)",,    6.5,"",    5.1,"",    8.3,"",    6.5,"",    5.1,"",    8.3,"",
"Income of individuals in 2020","      COVID-19 - Emergency and recovery benefits (%)",,    5.3,"",    4.3,"",    6.8,"",    5.3,"",    4.3,"",    6.8,"",
"Income of individuals in 2020","Total - Total income groups in 2020 for the population aged 15 years and over in private households - 100% data",21,125070,"", 61105,"", 63965,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without total income",,  4550,"",  2140,"",  2410,"",    3.6,"",    3.5,"",    3.8,"",
"Income of individuals in 2020","  With total income",,120515,"", 58970,"", 61550,"",   96.4,"",   96.5,"",   96.2,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",, 14615,"",  6310,"",  8305,"",   12.1,"",   10.7,"",   13.5,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 14270,"",  6050,"",  8220,"",   11.8,"",   10.3,"",   13.4,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 17630,"",  7520,"", 10110,"",   14.6,"",   12.8,"",   16.4,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 13675,"",  5870,"",  7805,"",   11.3,"",   10.0,"",   12.7,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 12035,"",  5445,"",  6590,"",   10.0,"",    9.2,"",   10.7,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 10115,"",  4735,"",  5375,"",    8.4,"",    8.0,"",    8.7,"",
"Income of individuals in 2020","    $60,000 to $69,999",,  8210,"",  4230,"",  3985,"",    6.8,"",    7.2,"",    6.5,"",
"Income of individuals in 2020","    $70,000 to $79,999",,  6295,"",  3415,"",  2880,"",    5.2,"",    5.8,"",    4.7,"",
"Income of individuals in 2020","    $80,000 to $89,999",,  5165,"",  2980,"",  2185,"",    4.3,"",    5.1,"",    3.5,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  4215,"",  2490,"",  1725,"",    3.5,"",    4.2,"",    2.8,"",
"Income of individuals in 2020","    $100,000 and over",, 14285,"",  9905,"",  4375,"",   11.9,"",   16.8,"",    7.1,"",
"Income of individuals in 2020","      $100,000 to $149,999",,  9455,"",  6180,"",  3280,"",    7.8,"",   10.5,"",    5.3,"",
"Income of individuals in 2020","      $150,000 and over",,  4835,"",  3730,"",  1100,"",    4.0,"",    6.3,"",    1.8,"",
"Income of individuals in 2020","Total - After-tax income groups in 2020 for the population aged 15 years and over in private households - 100% data",22,125070,"", 61105,"", 63965,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without after-tax income",,  4470,"",  2095,"",  2370,"",    3.6,"",    3.4,"",    3.7,"",
"Income of individuals in 2020","  With after-tax income",,120600,"", 59010,"", 61595,"",   96.4,"",   96.6,"",   96.3,"",
"Income of individuals in 2020","    Under $10,000 (including loss)",, 15035,"",  6470,"",  8565,"",   12.5,"",   11.0,"",   13.9,"",
"Income of individuals in 2020","    $10,000 to $19,999",, 14730,"",  6260,"",  8465,"",   12.2,"",   10.6,"",   13.7,"",
"Income of individuals in 2020","    $20,000 to $29,999",, 19660,"",  8395,"", 11265,"",   16.3,"",   14.2,"",   18.3,"",
"Income of individuals in 2020","    $30,000 to $39,999",, 15805,"",  6940,"",  8865,"",   13.1,"",   11.8,"",   14.4,"",
"Income of individuals in 2020","    $40,000 to $49,999",, 13940,"",  6440,"",  7495,"",   11.6,"",   10.9,"",   12.2,"",
"Income of individuals in 2020","    $50,000 to $59,999",, 11155,"",  5640,"",  5520,"",    9.2,"",    9.6,"",    9.0,"",
"Income of individuals in 2020","    $60,000 to $69,999",,  8130,"",  4455,"",  3670,"",    6.7,"",    7.5,"",    6.0,"",
"Income of individuals in 2020","    $70,000 to $79,999",,  6280,"",  3680,"",  2600,"",    5.2,"",    6.2,"",    4.2,"",
"Income of individuals in 2020","    $80,000 to $89,999",,  4625,"",  2740,"",  1890,"",    3.8,"",    4.6,"",    3.1,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  3170,"",  2040,"",  1130,"",    2.6,"",    3.5,"",    1.8,"",
"Income of individuals in 2020","    $100,000 and over",,  8060,"",  5940,"",  2120,"",    6.7,"",   10.1,"",    3.4,"",
"Income of individuals in 2020","      $100,000 to $124,999",,  4145,"",  2945,"",  1205,"",    3.4,"",    5.0,"",    2.0,"",
"Income of individuals in 2020","      $125,000 and over",,  3915,"",  3000,"",   915,"",    3.2,"",    5.1,"",    1.5,"",
"Income of individuals in 2020","Total - Employment income groups in 2020 for the population aged 15 years and over in private households - 100% data",19,125070,"", 61105,"", 63965,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2020","  Without employment income",, 38310,"", 16725,"", 21585,"",   30.6,"",   27.4,"",   33.7,"",
"Income of individuals in 2020","  With employment income",, 86760,"", 44380,"", 42375,"",   69.4,"",   72.6,"",   66.2,"",
"Income of individuals in 2020","    Under $5,000 (including loss)",, 11820,"",  5230,"",  6590,"",   13.6,"",   11.8,"",   15.6,"",
"Income of individuals in 2020","    $5,000 to $9,999",,  7680,"",  3165,"",  4515,"",    8.9,"",    7.1,"",   10.7,"",
"Income of individuals in 2020","    $10,000 to $19,999",,  9615,"",  4305,"",  5310,"",   11.1,"",    9.7,"",   12.5,"",
"Income of individuals in 2020","    $20,000 to $29,999",,  7155,"",  3280,"",  3880,"",    8.2,"",    7.4,"",    9.2,"",
"Income of individuals in 2020","    $30,000 to $39,999",,  6935,"",  3170,"",  3760,"",    8.0,"",    7.1,"",    8.9,"",
"Income of individuals in 2020","    $40,000 to $49,999",,  7135,"",  3380,"",  3760,"",    8.2,"",    7.6,"",    8.9,"",
"Income of individuals in 2020","    $50,000 to $59,999",,  6925,"",  3330,"",  3600,"",    8.0,"",    7.5,"",    8.5,"",
"Income of individuals in 2020","    $60,000 to $69,999",,  5830,"",  3140,"",  2685,"",    6.7,"",    7.1,"",    6.3,"",
"Income of individuals in 2020","    $70,000 to $79,999",,  4725,"",  2700,"",  2025,"",    5.4,"",    6.1,"",    4.8,"",
"Income of individuals in 2020","    $80,000 to $89,999",,  4135,"",  2425,"",  1715,"",    4.8,"",    5.5,"",    4.0,"",
"Income of individuals in 2020","    $90,000 to $99,999",,  3405,"",  2045,"",  1365,"",    3.9,"",    4.6,"",    3.2,"",
"Income of individuals in 2020","    $100,000 and over",, 11400,"",  8225,"",  3175,"",   13.1,"",   18.5,"",    7.5,"",
"Income of individuals in 2020","      $100,000 to $124,999",,  5160,"",  3380,"",  1780,"",    5.9,"",    7.6,"",    4.2,"",
"Income of individuals in 2020","      $125,000 and over",,  6245,"",  4845,"",  1395,"",    7.2,"",   10.9,"",    3.3,"",
"Income of individuals in 2019","Total - Income statistics in 2019 for the population aged 15 years and over in private households - 100% data",23,125075,"", 61105,"", 63970,"",  100.0,"",  100.0,"",  100.0,"",
"Income of individuals in 2019","  Number of total income recipients aged 15 years and over in private households in 2019 - 100% data",,116155,"", 56640,"", 59520,"",   92.9,"",   92.7,"",   93.0,"",
"Income of individuals in 2019","    Median total income in 2019 among recipients ($)",, 38000,"", 46400,"", 31600,"", 38000,"", 46400,"", 31600,"",
