,,,"Coquitlam, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","        Siouan languages",,       0,,       0,,       0,,      45,,      25,,      20,
"Mother tongue","          Dakota",,       0,,       0,,       0,,      30,,      15,,      20,
"Mother tongue","          Stoney",,       0,,       0,,       0,,       0,,       0,,       5,
"Mother tongue","          Siouan languages; n.i.e.",,       0,,       0,,       0,,       5,,       5,,       0,
"Mother tongue","        Tlingit",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Tsimshian languages",,       0,,       0,,       0,,    1460,,     715,,     740,
"Mother tongue","          Gitxsan (Gitksan)",,       0,,       0,,       0,,     875,,     435,,     445,
"Mother tongue","          Nisga'a",,       0,,       0,,       0,,     385,,     195,,     190,
"Mother tongue","          Tsimshian",,       0,,       0,,       0,,     195,,      90,,     110,
"Mother tongue","        Wakashan languages",,       0,,       0,,       0,,     795,,     365,,     435,
"Mother tongue","          Haisla",,       0,,       0,,       0,,      90,,      40,,      55,
"Mother tongue","          Heiltsuk",,       0,,       0,,       0,,     100,,      45,,      55,
"Mother tongue","          Kwakiutl (Kwak'wala)",,       0,,       0,,       0,,     320,,     140,,     180,
"Mother tongue","          Nuu-chah-nulth (Nootka)",,       0,,       0,,       0,,     275,,     135,,     140,
"Mother tongue","          Wakashan languages; n.i.e.",,       0,,       0,,       0,,       5,,      10,,       0,
"Mother tongue","        Aboriginal languages; n.o.s.",,       5,,       5,,       0,,     190,,      80,,     110,
"Mother tongue","      Non-Aboriginal languages",,   62805,,   29725,,   33080,, 1259025,,  587455,,  671570,
"Mother tongue","        Afro-Asiatic languages",,    1235,,     645,,     595,,   24870,,   13405,,   11465,
"Mother tongue","          Berber languages",,       0,,       0,,       5,,     115,,      75,,      45,
"Mother tongue","            Kabyle",,       0,,       0,,       0,,      40,,      30,,      15,
"Mother tongue","            Berber languages; n.i.e.",,       0,,       5,,       0,,      80,,      45,,      30,
"Mother tongue","          Cushitic languages",,      10,,       5,,       5,,    1505,,     765,,     740,
"Mother tongue","            Bilen",,       0,,       0,,       0,,       5,,       0,,       0,
"Mother tongue","            Oromo",,       0,,       0,,       0,,     205,,     115,,      95,
"Mother tongue","            Somali",,      10,,       5,,       5,,    1270,,     640,,     640,
"Mother tongue","            Cushitic languages; n.i.e.",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Semitic languages",,    1225,,     640,,     585,,   23195,,   12540,,   10655,
"Mother tongue","            Amharic",,      25,,      10,,      10,,    1370,,     670,,     700,
"Mother tongue","            Arabic",,    1110,,     580,,     530,,   17480,,    9595,,    7890,
"Mother tongue","            Assyrian Neo-Aramaic",,      15,,       5,,       5,,     650,,     315,,     330,
"Mother tongue","            Chaldean Neo-Aramaic",,       0,,       0,,       0,,     440,,     245,,     200,
"Mother tongue","            Harari",,       0,,       0,,       0,,      20,,       5,,      15,
"Mother tongue","            Hebrew",,      30,,      25,,      10,,    2065,,    1125,,     940,
"Mother tongue","            Maltese",,      20,,       5,,      15,,     215,,     100,,     115,
"Mother tongue","            Tigrigna",,      25,,       5,,      10,,     805,,     395,,     405,
"Mother tongue","            Semitic languages; n.i.e.",,       5,,       0,,       5,,     150,,      80,,      65,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       5,,       0,,       0,,      55,,      30,,      25,
"Mother tongue","        Austro-Asiatic languages",,     655,,     290,,     365,,   28740,,   13170,,   15575,
"Mother tongue","          Khmer (Cambodian)",,      20,,      10,,      15,,    1560,,     710,,     850,
"Mother tongue","          Vietnamese",,     635,,     285,,     350,,   27150,,   12440,,   14710,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Austronesian languages",,    3510,,    1425,,    2085,,   96535,,   38765,,   57770,
"Mother tongue","          Bikol",,      10,,       0,,       5,,     375,,     165,,     215,
"Mother tongue","          Cebuano",,     125,,      50,,      75,,    4065,,    1565,,    2505,
"Mother tongue","          Fijian",,      15,,       5,,       5,,     470,,     240,,     230,
"Mother tongue","          Hiligaynon",,      75,,      30,,      45,,    1470,,     550,,     920,
"Mother tongue","          Ilocano",,     120,,      50,,      70,,    5240,,    2055,,    3190,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Malay",,     420,,     195,,     220,,    3895,,    1675,,    2220,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,      15,,       5,,      10,,     700,,     320,,     380,
"Mother tongue","          Pangasinan",,      10,,       5,,       5,,     295,,     130,,     170,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    2705,,    1075,,    1630,,   78770,,   31550,,   47220,
"Mother tongue","          Waray-Waray",,      10,,       0,,       5,,     215,,      85,,     135,
"Mother tongue","          Austronesian languages; n.i.e.",,      20,,       5,,      15,,    1015,,     435,,     580,
"Mother tongue","        Creole languages",,      30,,      15,,      10,,     840,,     440,,     400,
"Mother tongue","          Haitian Creole",,       0,,       0,,       0,,      35,,      20,,      15,
"Mother tongue","          Creole; n.o.s.",,      20,,      10,,      10,,     500,,     255,,     245,
"Mother tongue","          Creole languages; n.i.e.",,       5,,       5,,       0,,     305,,     155,,     145,
"Mother tongue","        Dravidian languages",,     190,,      95,,     100,,    7500,,    3995,,    3510,
"Mother tongue","          Kannada",,       5,,       5,,       5,,     280,,     150,,     135,
"Mother tongue","          Malayalam",,      55,,      25,,      30,,    2385,,    1260,,    1130,
"Mother tongue","          Tamil",,      95,,      45,,      50,,    3615,,    1875,,    1740,
"Mother tongue","          Telugu",,      35,,      10,,      20,,    1175,,     695,,     480,
"Mother tongue","          Dravidian languages; n.i.e.",,       0,,       0,,       5,,      45,,      20,,      25,
"Mother tongue","        Hmong-Mien languages",,       0,,       5,,       0,,     140,,      75,,      70,
"Mother tongue","        Indo-European languages",,   22690,,   11115,,   11575,,  588175,,  286135,,  302035,
"Mother tongue","          Albanian",,      50,,      25,,      20,,    1465,,     765,,     705,
"Mother tongue","          Armenian",,      70,,      35,,      30,,    1195,,     600,,     600,
"Mother tongue","          Balto-Slavic languages",,    5030,,    2420,,    2615,,   83110,,   38595,,   44515,
"Mother tongue","            Baltic languages",,      45,,      25,,      20,,    1070,,     485,,     585,
"Mother tongue","              Latvian",,      25,,      10,,      10,,     565,,     255,,     300,
"Mother tongue","              Lithuanian",,      25,,      15,,      10,,     505,,     225,,     280,
"Mother tongue","            Slavic languages",,    4985,,    2395,,    2595,,   82040,,   38110,,   43930,
"Mother tongue","              Belarusan",,       5,,       0,,       0,,      95,,      45,,      50,
"Mother tongue","              Bosnian",,     100,,      55,,      50,,    1360,,     675,,     685,
"Mother tongue","              Bulgarian",,     195,,     100,,     100,,    2025,,     955,,    1070,
"Mother tongue","              Croatian",,     520,,     260,,     265,,    7475,,    3655,,    3820,
"Mother tongue","              Czech",,     210,,     105,,     105,,    5920,,    2850,,    3070,
"Mother tongue","              Macedonian",,      20,,      10,,      10,,     325,,     160,,     165,
"Mother tongue","              Polish",,    1100,,     530,,     565,,   16910,,    7875,,    9035,
"Mother tongue","              Russian",,    1870,,     885,,     985,,   25955,,   11640,,   14310,
"Mother tongue","              Serbian",,     355,,     185,,     170,,    7045,,    3600,,    3450,
"Mother tongue","              Serbo-Croatian",,      55,,      30,,      20,,    1395,,     670,,     725,
"Mother tongue","              Slovak",,     205,,      85,,     120,,    3400,,    1525,,    1870,
"Mother tongue","              Slovene (Slovenian)",,      35,,      15,,      20,,    1160,,     545,,     615,
"Mother tongue","              Ukrainian",,     290,,     125,,     170,,    8630,,    3730,,    4900,
"Mother tongue","              Slavic languages; n.i.e.",,      20,,      10,,      10,,     345,,     175,,     170,
"Mother tongue","          Celtic languages",,      10,,       0,,       5,,     615,,     325,,     290,
"Mother tongue","            Scottish Gaelic",,       5,,       0,,       5,,     240,,     130,,     110,
"Mother tongue","            Welsh",,       5,,       5,,       0,,     280,,     145,,     135,
"Mother tongue","            Celtic languages; n.i.e.",,       0,,       0,,       0,,      95,,      50,,      45,
"Mother tongue","          Germanic languages",,    1575,,     770,,     810,,  101725,,   48350,,   53380,
"Mother tongue","            Afrikaans",,      80,,      40,,      45,,    3260,,    1655,,    1610,
"Mother tongue","            Danish",,     115,,      55,,      60,,    4665,,    2280,,    2385,
"Mother tongue","            Dutch",,     285,,     140,,     140,,   21020,,   10130,,   10895,
"Mother tongue","            Frisian",,       5,,       0,,       0,,     295,,     145,,     145,
"Mother tongue","            German",,    1005,,     495,,     510,,   66885,,   31525,,   35360,
"Mother tongue","            Icelandic",,       5,,       5,,       5,,     275,,     135,,     145,
"Mother tongue","            Norwegian",,      30,,      15,,      15,,    2005,,     970,,    1035,
"Mother tongue","            Swedish",,      50,,      20,,      25,,    2520,,    1100,,    1420,
"Mother tongue","            Vlaams (Flemish)",,       5,,       0,,       0,,     445,,     220,,     225,
"Mother tongue","            Yiddish",,       0,,       5,,       5,,     290,,     150,,     140,
"Mother tongue","            Germanic languages; n.i.e.",,       5,,       5,,       0,,      65,,      45,,      25,
"Mother tongue","          Greek",,     205,,     115,,      85,,    6115,,    3245,,    2870,
"Mother tongue","          Indo-Iranian languages",,   10260,,    5100,,    5165,,  297800,,  147830,,  149970,
"Mother tongue","            Indo-Aryan languages",,    2890,,    1405,,    1490,,  251000,,  124260,,  126740,
"Mother tongue","              Bengali",,      50,,      30,,      20,,    3180,,    1665,,    1510,
"Mother tongue","              Gujarati",,     385,,     175,,     205,,    6895,,    3290,,    3605,
"Mother tongue","              Hindi",,     545,,     260,,     280,,   26720,,   12910,,   13810,
"Mother tongue","              Kashmiri",,       0,,       5,,       0,,      65,,      35,,      25,
"Mother tongue","              Konkani",,      15,,      10,,      10,,     255,,     130,,     125,
