,,,"Richmond, City [Census subdivision], British Columbia",,,,,,"British Columbia [Province]"
"Topic","Characteristics","Note","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female","Total","Flag_Total","Male","Flag_Male","Female","Flag_Female"
,,,"Counts (unless otherwise specified)",,,,,,
"Mother tongue","            Semitic languages; n.i.e.",,      10,,       5,,       5,,     150,,      80,,      65,
"Mother tongue","          Afro-Asiatic languages; n.i.e.",,       0,,       0,,       0,,      55,,      30,,      25,
"Mother tongue","        Austro-Asiatic languages",,     835,,     370,,     470,,   28740,,   13170,,   15575,
"Mother tongue","          Khmer (Cambodian)",,      35,,      15,,      15,,    1560,,     710,,     850,
"Mother tongue","          Vietnamese",,     800,,     345,,     450,,   27150,,   12440,,   14710,
"Mother tongue","          Austro-Asiatic languages; n.i.e",,       0,,       0,,       0,,      30,,      15,,      15,
"Mother tongue","        Austronesian languages",,    9305,,    3955,,    5350,,   96535,,   38765,,   57770,
"Mother tongue","          Bikol",,      70,,      40,,      35,,     375,,     165,,     215,
"Mother tongue","          Cebuano",,     330,,     150,,     185,,    4065,,    1565,,    2505,
"Mother tongue","          Fijian",,      25,,      10,,      20,,     470,,     240,,     230,
"Mother tongue","          Hiligaynon",,     115,,      50,,      65,,    1470,,     550,,     920,
"Mother tongue","          Ilocano",,     385,,     150,,     230,,    5240,,    2055,,    3190,
"Mother tongue","          Malagasy",,       0,,       0,,       0,,      20,,      10,,      15,
"Mother tongue","          Malay",,     375,,     175,,     200,,    3895,,    1675,,    2220,
"Mother tongue","          Pampangan (Kapampangan; Pampango)",,     130,,      65,,      70,,     700,,     320,,     380,
"Mother tongue","          Pangasinan",,      10,,      10,,       5,,     295,,     130,,     170,
"Mother tongue","          Tagalog (Pilipino; Filipino)",,    7780,,    3285,,    4500,,   78770,,   31550,,   47220,
"Mother tongue","          Waray-Waray",,      20,,      10,,      10,,     215,,      85,,     135,
"Mother tongue","          Austronesian languages; n.i.e.",,      65,,      25,,      35,,    1015,,     435,,     580,
"Mother tongue","        Creole languages",,      35,,      15,,      20,,     840,,     440,,     400,
"Mother tongue","          Haitian Creole",,       0,,       0,,       5,,      35,,      20,,      15,
"Mother tongue","          Creole; n.o.s.",,      25,,      10,,      15,,     500,,     255,,     245,
"Mother tongue","          Creole languages; n.i.e.",,      15,,       5,,      10,,     305,,     155,,     145,
"Mother tongue","        Dravidian languages",,     380,,     200,,     185,,    7500,,    3995,,    3510,
"Mother tongue","          Kannada",,      15,,       5,,       5,,     280,,     150,,     135,
"Mother tongue","          Malayalam",,     105,,      55,,      55,,    2385,,    1260,,    1130,
"Mother tongue","          Tamil",,     220,,     115,,     105,,    3615,,    1875,,    1740,
"Mother tongue","          Telugu",,      40,,      25,,      15,,    1175,,     695,,     480,
"Mother tongue","          Dravidian languages; n.i.e.",,       5,,       0,,       0,,      45,,      20,,      25,
"Mother tongue","        Hmong-Mien languages",,       0,,       0,,       0,,     140,,      75,,      70,
"Mother tongue","        Indo-European languages",,   17930,,    8630,,    9305,,  588175,,  286135,,  302035,
"Mother tongue","          Albanian",,      40,,      25,,      15,,    1465,,     765,,     705,
"Mother tongue","          Armenian",,      70,,      40,,      30,,    1195,,     600,,     600,
"Mother tongue","          Balto-Slavic languages",,    3495,,    1645,,    1845,,   83110,,   38595,,   44515,
"Mother tongue","            Baltic languages",,      30,,      20,,      10,,    1070,,     485,,     585,
"Mother tongue","              Latvian",,      25,,      15,,      10,,     565,,     255,,     300,
"Mother tongue","              Lithuanian",,      10,,       5,,       5,,     505,,     225,,     280,
"Mother tongue","            Slavic languages",,    3460,,    1630,,    1830,,   82040,,   38110,,   43930,
"Mother tongue","              Belarusan",,       5,,       0,,       5,,      95,,      45,,      50,
"Mother tongue","              Bosnian",,      35,,      20,,      20,,    1360,,     675,,     685,
